A,G,GP,PIM,Pts,draft_num,draft_team,draft_year,junior_team,name,pos,round_num
0,0,0,0,0,64,Colorado,2018,Karpat-2 (Finland Jrs.),Justus Annunen,G,3
0,0,0,0,0,65,Arizona,2018,Benatky N.J. (Czech Jrs.),Jan Jenik,C,3
0,0,0,0,0,66,Montreal,2018,Guelph Storm [OHL],Cam Hillis,C,3
0,0,0,0,0,67,Detroit,2018,London Knights [OHL],Alec Regula,D,3
0,0,0,0,0,68,Vancouver,2018,Tri-City Storm [USHL],Tyler Madden,C,3
0,0,0,0,0,69,Chicago,2018,U.S. National Under-18 Team [USHL],Jake Wise,C,3
0,0,0,0,0,70,NY Rangers,2018,Almtuna IS [Swe-1],Jakob Ragnarsson,D,3
0,0,0,0,0,71,Montreal,2018,Kimball-Union (New Hamp. H.S.),Jordan Harris,D,3
0,0,0,0,0,72,NY Islanders,2018,Dukla Jihlava [Czech],Jakub Skarek,G,3
0,0,0,0,0,73,Arizona,2018,U.S. National Under-18 Team [USHL],Ty Emberson,D,3
0,0,0,0,0,74,Chicago,2018,HIFK Helsinki [SM-liiga],Niklas Nordgren,R,3
0,0,0,0,0,75,Dallas,2018,Farjestad-2 (Sweden Jrs.),Oskar Back,C,3
0,0,0,0,0,76,Toronto,2018,Peterborough Petes [OHL],Semyon Der-Arguchintsev,C,3
0,0,0,0,0,77,Boston,2018,Chomutov Pirati [Czech],Jakub Lauko,L,3
0,0,0,0,0,78,Colorado,2018,Sioux City Musketeers [USHL],Sampo Ranta,R,3
0,0,0,0,0,79,Anaheim,2018,Chicago Steel [USHL],Blake McLaughlin,L,3
0,0,0,0,0,80,Columbus,2018,Leksand-2 (Sweden Jrs.),Marcus Karlberg,L,3
0,0,0,0,0,81,Detroit,2018,Trail Smoke Eaters [BCHL],Seth Barton,D,3
0,0,0,0,0,82,Los Angeles,2018,Nizhnekamsk-2 (Russia Jrs.),Bulat Shafigullin,F,3
0,0,0,0,0,83,Toronto,2018,Calgary Hitmen [WHL],Riley Stotts,C,3
0,0,0,0,0,84,Detroit,2018,Troja/Ljungby-2 (Sweden Jrs.),Jesper Eliasson,G,3
0,0,0,0,0,85,Anaheim,2018,Trebic (Czech-2),Lukas Dostal,G,3
0,0,0,0,0,86,Minnesota,2018,Moncton Wildcats [QMJHL],Alexander Khovanov,C,3
0,0,0,0,0,87,San Jose,2018,Karlskrona-2 (Sweden Jrs.),Linus Karlsson,C,3
0,0,0,0,0,88,NY Rangers,2018,Barrie Colts [OHL],Joey Keane,D,3
0,0,0,0,0,89,Florida,2018,Boston College [H-East],Logan Hutsko,R,3
0,0,0,0,0,90,Tampa Bay,2018,Stupino-2 (Russia Jrs.),Dmitri Semykin,D,3
0,0,0,0,0,91,Winnipeg,2018,Cedar Rapids RoughRiders [USHL],Nathan Smith,C,3
0,0,0,0,0,92,Minnesota,2018,Everett Silvertips [WHL],Connor Dewar,C,3
0,0,0,0,0,93,Washington,2018,Everett Silvertips [WHL],Riley Sutter,R,3
0,0,0,0,0,94,Buffalo,2018,Muskegon Lumberjacks [USHL],Matej Pekar,C,4
0,0,0,0,0,95,Ottawa,2018,U.S. National Under-18 Team [USHL],Jonathan Gruden,C,4
0,0,0,0,0,96,Carolina,2018,Blainville-Boisbriand Armada [QMJHL],Luke Henman,C,4
0,0,0,0,0,97,Montreal,2018,Oshawa Generals [OHL],Allan McShane,C,4
0,0,0,0,0,98,Detroit,2018,Madison Capitols [USHL],Ryan O'Reilly,R,4
0,0,0,0,0,99,Vegas,2018,Wenatchee Wild [BCHL],Slava Demin,D,4
0,0,0,0,0,100,Dallas,2018,Kitchener Rangers [OHL],Adam Mascherin,L,4
0,0,0,0,0,101,NY Rangers,2018,Oshawa Generals [OHL],Nico Gross,D,4
0,0,0,0,0,102,San Jose,2018,Wenatchee Wild [BCHL],Jasper Weatherby,F,4
0,0,0,0,0,103,NY Islanders,2018,U.S. National Under-18 Team [USHL],Jake Pivonka,C,4
0,0,0,0,0,104,Carolina,2018,Blues-2 (Finland Jrs.),Lenni Killinen,R,4
0,0,0,0,0,105,Calgary,2018,Sioux City Musketeers [USHL],Martin Pospisil,C,4
0,0,0,0,0,106,Dallas,2018,Windsor Spitfires [OHL],Curtis Douglas,C,4
0,0,0,0,0,107,St. Louis,2018,Swift Current Broncos [WHL],Joel Hofer,G,4
0,0,0,0,0,108,Calgary,2018,Edina (Minn. H.S.),Demetrios Koumontzis,L,4
0,0,0,0,0,109,Colorado,2018,U.S. National Under-18 Team [USHL],Tyler Weiss,L,4
0,0,0,0,0,110,New Jersey,2018,Drummondville Voltigeurs [QMJHL],Xavier Bernard,D,4
0,0,0,0,0,111,Nashville,2018,Muskegon Lumberjacks [USHL],Jachym Kondelik,C,4
0,0,0,0,0,112,Philadelphia,2018,Sioux Falls Stampede [USHL],John St. Ivany,D,4
0,0,0,0,0,113,Los Angeles,2018,Owen Sound Attack [OHL],Aidan Dudas,C,4
0,0,0,0,0,114,Arizona,2018,Youngstown Phantoms [USHL],Ivan Prosvetov,G,4
0,0,0,0,0,115,Vegas,2018,Lincoln Stars [USHL],Paul Cotter,C,4
0,0,0,0,0,116,Anaheim,2018,Elk River (Minn. H.S.),Jack Perbix,R,4
0,0,0,0,0,117,Buffalo,2018,Malmo-2 (Sweden Jrs.),Linus Cronholm,D,4
0,0,0,0,0,118,Toronto,2018,Soo Greyhounds [OHL],Mac Hollowell,D,4
0,0,0,0,0,119,Boston,2018,Youngstown Phantoms [USHL],Curtis Hall,C,4
0,0,0,0,0,120,Chicago,2018,Quebec Remparts [QMJHL],Philipp Kurashev,C,4
0,0,0,0,0,121,Tampa Bay,2018,Cornell University [ECAC],Alex Green,D,4
0,0,0,0,0,122,Calgary,2018,Vancouver Giants [WHL],Milos Roman,C,4
0,0,0,0,0,123,Montreal,2018,West Salem (Wisc. H.S.),Jack Gorniak,L,4
0,0,0,0,0,124,Washington,2018,Lone Star Brahmas [NAHL],Mitchell Gibson,G,4
0,0,0,0,0,125,Buffalo,2018,Ilves-2 (Finland Jrs.),Miska Kukkonen,D,5
0,0,0,0,0,126,Ottawa,2018,Langley Rivermen [BCHL],Angus Crookshank,L,5
0,0,0,0,0,127,Philadelphia,2018,Everett Silvertips [WHL],Wyatte Wylie,D,5
0,0,0,0,0,128,Montreal,2018,Prince Albert Raiders [WHL],Cole Fonstad,C,5
0,0,0,0,0,129,Pittsburgh,2018,Moose Jaw Warriors [WHL],Justin Almeida,C,5
0,0,0,0,0,130,Vancouver,2018,Leki-2 (Finland Jrs.),Toni Utunen,D,5
0,0,0,0,0,131,Nashville,2018,U.S. National Under-18 Team [USHL],Spencer Stastney,D,5
0,0,0,0,0,132,NY Rangers,2018,TPS Turku [SM-liiga],Lauri Pajuniemi,R,5
0,0,0,0,0,133,Montreal,2018,Chicoutimi Sagueneens [QMJHL],Samuel Houde,C,5
0,0,0,0,0,134,NY Islanders,2018,Saginaw Spirit [OHL],Blade Jenkins,L,5
0,0,0,0,0,135,Vegas,2018,Bowling Green State University [WCHA],Brandon Kruse,F,5
0,0,0,0,0,136,New Jersey,2018,Langnau-2 (Swiss Jrs.),Akira Schmid,G,5
0,0,0,0,0,137,Dallas,2018,Kitchener Rangers [OHL],Riley Damiani,C,5
0,0,0,0,0,138,St. Louis,2018,Western Michigan University [NCHC],Hugh McGing,F,5
0,0,0,0,0,139,Chicago,2018,Muskegon Lumberjacks [USHL],Mikael Hakkarainen,C,5
0,0,0,0,0,140,Colorado,2018,Hamilton Bulldogs [OHL],Brandon Saigeon,C,5
0,0,0,0,0,141,New Jersey,2018,Minsk Dynamo [KHL],Yegor Sharangovich,F,5
0,0,0,0,0,142,Arizona,2018,Youngstown Phantoms [USHL],Mike Callahan,D,5
0,0,0,0,0,143,Philadelphia,2018,Brynas-2 (Sweden Jrs.),Samuel Ersson,G,5
0,0,0,0,0,144,Los Angeles,2018,St. Cloud State [NCHC],David Hrenak,G,5
0,0,0,0,0,145,Arizona,2018,Flint Firebirds [OHL],Dennis Busby,D,5
0,0,0,0,0,146,Colorado,2018,Irbis Kazan (Russia Jrs.),Danila Zhuravlyov,D,5
0,0,0,0,0,147,Anaheim,2018,Des Moines Buccaneers [USHL],Roman Durny,G,5
0,0,0,0,0,148,Minnesota,2018,Djurgarden-2 (Sweden Jrs.),Simon Johansson,D,5
0,0,0,0,0,149,Toronto,2018,Spokane Chiefs [WHL],Filip Kral,D,5
0,0,0,0,0,150,Winnipeg,2018,Peterborough Petes [OHL],Declan Chisholm,D,5
0,0,0,0,0,151,Nashville,2018,Calgary Hitmen [WHL],Vladislav Yeryomenko,D,5
0,0,0,0,0,152,Tampa Bay,2018,AIK-2 (Sweden Jrs.),Magnus Chrona,G,5
0,0,0,0,0,153,Winnipeg,2018,Kitchener Rangers [OHL],Giovanni Vallati,D,5
0,0,0,0,0,154,Vegas,2018,Windsor Spitfires [OHL],Connor Corcoran,D,5
0,0,0,0,0,155,Minnesota,2018,Saginaw Spirit [OHL],Damien Giroux,C,5
0,0,0,0,0,156,Toronto,2018,Vasteras (Sweden-3),Pontus Holmberg,L,6
0,0,0,0,0,157,Ottawa,2018,Cape Breton Screaming Eagles [QMJHL],Kevin Mandolese,G,6
0,0,0,0,0,158,Arizona,2018,Vancouver Giants [WHL],David Tendeck,G,6
0,0,0,0,0,159,Columbus,2018,Zurich-2 (Swiss Jrs.),Tim Berni,D,6
0,0,0,0,0,160,Detroit,2018,Timra IK [Swe-1],Victor Brattstrom,G,6
0,0,0,0,0,161,Washington,2018,Vancouver Giants [WHL],Alex Kannok-Leipert,D,6
0,0,0,0,0,162,Chicago,2018,Halifax Mooseheads [QMJHL],Alexis Gravel,G,6
0,0,0,0,0,163,NY Rangers,2018,Rogle-2 (Sweden Jrs.),Simon Kjellberg,D,6
0,0,0,0,0,164,Edmonton,2018,New Hampton School (New Hamp. H.S.),Mike Kesselring,D,6
0,0,0,0,0,165,Los Angeles,2018,Linkopings HC [SweHL],Johan Sodergran,R,6
0,0,0,0,0,166,Carolina,2018,MODO Hockey Ornskoldsvik [Swe-1],Jesper Sellgren,D,6
0,0,0,0,0,167,Calgary,2018,Muskegon Lumberjacks [USHL],Emilio Pettersen,C,6
0,0,0,0,0,168,Dallas,2018,Red Deer Rebels [WHL],Dawson Barteaux,D,6
0,0,0,0,0,169,St. Louis,2018,Cape Breton Screaming Eagles [QMJHL],Mathias Laferriere,R,6
0,0,0,0,0,170,Florida,2018,RB Hockey Akademia (Czech Jrs.),Justin Schutz,L,6
0,0,0,0,0,171,Colorado,2018,Yaroslavl-2 (Russia Jrs.),Nikolai Kovalenko,R,6
0,0,0,0,0,172,New Jersey,2018,Ottawa 67's [OHL],Mitchell Hoelscher,C,6
0,0,0,0,0,173,Columbus,2018,Karpat [SM-liiga],Veini Vehvilainen,G,6
0,0,0,0,0,174,Philadelphia,2018,U.S. National Under-18 Team [USHL],Gavin Hain,C,6
0,0,0,0,0,175,Los Angeles,2018,Mississauga Steelheads [OHL],Jacob Ingham,G,6
0,0,0,0,0,176,San Jose,2018,Rouyn-Noranda Huskies [QMJHL],Zachary Emond,G,6
0,0,0,0,0,177,Pittsburgh,2018,St. Sebastian's School (Mass. H.S.),Liam Gorman,F,6
0,0,0,0,0,178,Anaheim,2018,Charlottetown Islanders [QMJHL],Hunter Drew,D,6
0,0,0,0,0,179,Minnesota,2018,Gatineau Olympiques [QMJHL],Shawn Boudrias,R,6
0,0,0,0,0,180,Vegas,2018,Salisbury (Conn. H.S.),Peter Diliberatore,D,6
0,0,0,0,0,181,Boston,2018,Pickering Panthers [OJHL],Dustyn McFaul,D,6
0,0,0,0,0,182,San Jose,2018,UMass-Amherst [H-East],John Leonard,C,6
0,0,0,0,0,183,Tampa Bay,2018,Sioux City Musketeers [USHL],Cole Koepke,F,6
0,0,0,0,0,184,Winnipeg,2018,Waterloo Black Hawks [USHL],Jared Moe,G,6
0,0,0,0,0,185,Vegas,2018,Baie-Comeau Drakkar [QMJHL],Xavier Bouchard,D,6
0,0,0,0,0,186,Vancouver,2018,Omsk-2 (Russia Jrs.),Artem Manukyan,F,6
0,0,0,0,0,187,Buffalo,2018,Linkoping-2 (Sweden Jrs.),William Worge-Kreu,D,7
0,0,0,0,0,188,Ottawa,2018,Janesville Jets [NAHL],Jakov Novak,F,7
0,0,0,0,0,189,Arizona,2018,Sheffield Steelers [EIHL],Liam Kirk,L,7
0,0,0,0,0,190,Montreal,2018,Vernon Vipers [BCHL],Brett Stapley,C,7
0,0,0,0,0,191,Detroit,2018,Assat-2 (Finland Jrs.),Otto Kivenmaki,C,7
0,0,0,0,0,192,Vancouver,2018,Steinbach Pistons [MJHL],Matthew Thiessen,G,7
0,0,0,0,0,193,Chicago,2018,Lincoln Stars [USHL],Josiah Slavin,L,7
0,0,0,0,0,194,Ottawa,2018,Minnetonka (Minn. H.S.),Luke Loheit,R,7
0,0,0,0,0,195,Edmonton,2018,Blues-2 (Finland Jrs.),Patrik Siikanen,L,7
0,0,0,0,0,196,NY Islanders,2018,Lincoln Stars [USHL],Christian Krygier,D,7
0,0,0,0,0,197,Carolina,2018,Des Moines Buccaneers [USHL],Jacob Kucharski,G,7
0,0,0,0,0,198,Calgary,2018,Rimouski Oceanic [QMJHL],Dmitry Zavgorodniy,L,7
0,0,0,0,0,199,Dallas,2018,Kamloops Blazers [WHL],Jermaine Loewen,R,7
0,0,0,0,0,200,St. Louis,2018,Barrie Colts [OHL],Tyler Tucker,D,7
0,0,0,0,0,201,Florida,2018,Lincoln Stars [USHL],Cole Krygier,D,7
0,0,0,0,0,202,Colorado,2018,Novosibirsk-2 (Russia Jrs.),Shamil Shmakov,G,7
0,0,0,0,0,203,New Jersey,2018,Karpat-2 (Finland Jrs.),Eetu Pakkila,L,7
0,0,0,0,0,204,Columbus,2018,Edmonton Oil Kings [WHL],Trey Fix-Wolansky,R,7
0,0,0,0,0,205,Philadelphia,2018,Brynas IF Gavle [SweHL],Marcus Westfalt,L,7
0,0,0,0,0,206,Tampa Bay,2018,Saint John Sea Dogs [QMJHL],Radim Salda,D,7
