A,G,GP,PIM,Pts,draft_num,draft_team,junior_team,name,pos,round_num
0,0,0,0,0,69,Chicago,U.S. National Under-18 Team [USHL],Jake Wise,C,3
0,0,0,0,0,70,NY Rangers,Almtuna IS [Swe-1],Jakob Ragnarsson,D,3
0,0,0,0,0,71,Montreal,Kimball-Union (New Hamp. H.S.),Jordan Harris,D,3
0,0,0,0,0,72,NY Islanders,Dukla Jihlava [Czech],Jakub Skarek,G,3
0,0,0,0,0,73,Arizona,U.S. National Under-18 Team [USHL],Ty Emberson,D,3
0,0,0,0,0,74,Chicago,HIFK Helsinki [SM-liiga],Niklas Nordgren,R,3
0,0,0,0,0,75,Dallas,Farjestad-2 (Sweden Jrs.),Oskar Back,C,3
0,0,0,0,0,76,Toronto,Peterborough Petes [OHL],Semyon Der-Arguchintsev,C,3
0,0,0,0,0,77,Boston,Chomutov Pirati [Czech],Jakub Lauko,L,3
0,0,0,0,0,78,Colorado,Sioux City Musketeers [USHL],Sampo Ranta,R,3
0,0,0,0,0,79,Anaheim,Chicago Steel [USHL],Blake McLaughlin,L,3
0,0,0,0,0,80,Columbus,Leksand-2 (Sweden Jrs.),Marcus Karlberg,L,3
0,0,0,0,0,81,Detroit,Trail Smoke Eaters [BCHL],Seth Barton,D,3
0,0,0,0,0,82,Los Angeles,Nizhnekamsk-2 (Russia Jrs.),Bulat Shafigullin,F,3
0,0,0,0,0,83,Toronto,Calgary Hitmen [WHL],Riley Stotts,C,3
0,0,0,0,0,84,Detroit,Troja/Ljungby-2 (Sweden Jrs.),Jesper Eliasson,G,3
0,0,0,0,0,85,Anaheim,Trebic (Czech-2),Lukas Dostal,G,3
0,0,0,0,0,86,Minnesota,Moncton Wildcats [QMJHL],Alexander Khovanov,C,3
0,0,0,0,0,87,San Jose,Karlskrona-2 (Sweden Jrs.),Linus Karlsson,C,3
0,0,0,0,0,88,NY Rangers,Barrie Colts [OHL],Joey Keane,D,3
0,0,0,0,0,89,Florida,Boston College [H-East],Logan Hutsko,R,3
0,0,0,0,0,90,Tampa Bay,Stupino-2 (Russia Jrs.),Dmitri Semykin,D,3
0,0,0,0,0,91,Winnipeg,Cedar Rapids RoughRiders [USHL],Nathan Smith,C,3
0,0,0,0,0,92,Minnesota,Everett Silvertips [WHL],Connor Dewar,C,3
0,0,0,0,0,93,Washington,Everett Silvertips [WHL],Riley Sutter,R,3
0,0,0,0,0,94,Buffalo,Muskegon Lumberjacks [USHL],Matej Pekar,C,4
0,0,0,0,0,95,Ottawa,U.S. National Under-18 Team [USHL],Jonathan Gruden,C,4
0,0,0,0,0,96,Carolina,Blainville-Boisbriand Armada [QMJHL],Luke Henman,C,4
0,0,0,0,0,97,Montreal,Oshawa Generals [OHL],Allan McShane,C,4
0,0,0,0,0,98,Detroit,Madison Capitols [USHL],Ryan O'Reilly,R,4
0,0,0,0,0,99,Vegas,Wenatchee Wild [BCHL],Slava Demin,D,4
0,0,0,0,0,100,Dallas,Kitchener Rangers [OHL],Adam Mascherin,L,4
0,0,0,0,0,101,NY Rangers,Oshawa Generals [OHL],Nico Gross,D,4
0,0,0,0,0,102,San Jose,Wenatchee Wild [BCHL],Jasper Weatherby,F,4
0,0,0,0,0,103,NY Islanders,U.S. National Under-18 Team [USHL],Jake Pivonka,C,4
0,0,0,0,0,104,Carolina,Blues-2 (Finland Jrs.),Lenni Killinen,R,4
0,0,0,0,0,105,Calgary,Sioux City Musketeers [USHL],Martin Pospisil,C,4
0,0,0,0,0,106,Dallas,Windsor Spitfires [OHL],Curtis Douglas,C,4
0,0,0,0,0,107,St. Louis,Swift Current Broncos [WHL],Joel Hofer,G,4
0,0,0,0,0,108,Calgary,Edina (Minn. H.S.),Demetrios Koumontzis,L,4
0,0,0,0,0,109,Colorado,U.S. National Under-18 Team [USHL],Tyler Weiss,L,4
0,0,0,0,0,110,New Jersey,Drummondville Voltigeurs [QMJHL],Xavier Bernard,D,4
0,0,0,0,0,111,Nashville,Muskegon Lumberjacks [USHL],Jachym Kondelik,C,4
0,0,0,0,0,112,Philadelphia,Sioux Falls Stampede [USHL],John St. Ivany,D,4
0,0,0,0,0,113,Los Angeles,Owen Sound Attack [OHL],Aidan Dudas,C,4
0,0,0,0,0,114,Arizona,Youngstown Phantoms [USHL],Ivan Prosvetov,G,4
0,0,0,0,0,115,Vegas,Lincoln Stars [USHL],Paul Cotter,C,4
0,0,0,0,0,116,Anaheim,Elk River (Minn. H.S.),Jack Perbix,R,4
0,0,0,0,0,117,Buffalo,Malmo-2 (Sweden Jrs.),Linus Cronholm,D,4
0,0,0,0,0,118,Toronto,Soo Greyhounds [OHL],Mac Hollowell,D,4
0,0,0,0,0,119,Boston,Youngstown Phantoms [USHL],Curtis Hall,C,4
0,0,0,0,0,120,Chicago,Quebec Remparts [QMJHL],Philipp Kurashev,C,4
0,0,0,0,0,121,Tampa Bay,Cornell University [ECAC],Alex Green,D,4
0,0,0,0,0,122,Calgary,Vancouver Giants [WHL],Milos Roman,C,4
0,0,0,0,0,123,Montreal,West Salem (Wisc. H.S.),Jack Gorniak,L,4
0,0,0,0,0,124,Washington,Lone Star Brahmas [NAHL],Mitchell Gibson,G,4
0,0,0,0,0,125,Buffalo,Ilves-2 (Finland Jrs.),Miska Kukkonen,D,5
0,0,0,0,0,126,Ottawa,Langley Rivermen [BCHL],Angus Crookshank,L,5
0,0,0,0,0,127,Philadelphia,Everett Silvertips [WHL],Wyatte Wylie,D,5
0,0,0,0,0,128,Montreal,Prince Albert Raiders [WHL],Cole Fonstad,C,5
0,0,0,0,0,129,Pittsburgh,Moose Jaw Warriors [WHL],Justin Almeida,C,5
0,0,0,0,0,130,Vancouver,Leki-2 (Finland Jrs.),Toni Utunen,D,5
0,0,0,0,0,131,Nashville,U.S. National Under-18 Team [USHL],Spencer Stastney,D,5
0,0,0,0,0,132,NY Rangers,TPS Turku [SM-liiga],Lauri Pajuniemi,R,5
0,0,0,0,0,133,Montreal,Chicoutimi Sagueneens [QMJHL],Samuel Houde,C,5
0,0,0,0,0,134,NY Islanders,Saginaw Spirit [OHL],Blade Jenkins,L,5
0,0,0,0,0,135,Vegas,Bowling Green State University [WCHA],Brandon Kruse,F,5
0,0,0,0,0,136,New Jersey,Langnau-2 (Swiss Jrs.),Akira Schmid,G,5
0,0,0,0,0,137,Dallas,Kitchener Rangers [OHL],Riley Damiani,C,5
0,0,0,0,0,138,St. Louis,Western Michigan University [NCHC],Hugh McGing,F,5
0,0,0,0,0,139,Chicago,Muskegon Lumberjacks [USHL],Mikael Hakkarainen,C,5
0,0,0,0,0,140,Colorado,Hamilton Bulldogs [OHL],Brandon Saigeon,C,5
0,0,0,0,0,141,New Jersey,Minsk Dynamo [KHL],Yegor Sharangovich,F,5
0,0,0,0,0,142,Arizona,Youngstown Phantoms [USHL],Mike Callahan,D,5
0,0,0,0,0,143,Philadelphia,Brynas-2 (Sweden Jrs.),Samuel Ersson,G,5
0,0,0,0,0,144,Los Angeles,St. Cloud State [NCHC],David Hrenak,G,5
0,0,0,0,0,145,Arizona,Flint Firebirds [OHL],Dennis Busby,D,5
0,0,0,0,0,146,Colorado,Irbis Kazan (Russia Jrs.),Danila Zhuravlyov,D,5
0,0,0,0,0,147,Anaheim,Des Moines Buccaneers [USHL],Roman Durny,G,5
0,0,0,0,0,148,Minnesota,Djurgarden-2 (Sweden Jrs.),Simon Johansson,D,5
0,0,0,0,0,149,Toronto,Spokane Chiefs [WHL],Filip Kral,D,5
0,0,0,0,0,150,Winnipeg,Peterborough Petes [OHL],Declan Chisholm,D,5
0,0,0,0,0,151,Nashville,Calgary Hitmen [WHL],Vladislav Yeryomenko,D,5
0,0,0,0,0,152,Tampa Bay,AIK-2 (Sweden Jrs.),Magnus Chrona,G,5
0,0,0,0,0,153,Winnipeg,Kitchener Rangers [OHL],Giovanni Vallati,D,5
0,0,0,0,0,154,Vegas,Windsor Spitfires [OHL],Connor Corcoran,D,5
0,0,0,0,0,155,Minnesota,Saginaw Spirit [OHL],Damien Giroux,C,5
0,0,0,0,0,156,Toronto,Vasteras (Sweden-3),Pontus Holmberg,L,6
0,0,0,0,0,157,Ottawa,Cape Breton Screaming Eagles [QMJHL],Kevin Mandolese,G,6
0,0,0,0,0,158,Arizona,Vancouver Giants [WHL],David Tendeck,G,6
0,0,0,0,0,159,Columbus,Zurich-2 (Swiss Jrs.),Tim Berni,D,6
0,0,0,0,0,160,Detroit,Timra IK [Swe-1],Victor Brattstrom,G,6
0,0,0,0,0,161,Washington,Vancouver Giants [WHL],Alex Kannok-Leipert,D,6
0,0,0,0,0,162,Chicago,Halifax Mooseheads [QMJHL],Alexis Gravel,G,6
