A,G,GP,PIM,Pts,draft_num,draft_team,junior_team,name,pos,round_num
0,0,0,0,0,85,Minnesota,Erie Otters [OHL],Ivan Lodnia,R,3
0,0,0,0,0,86,Columbus,Ufa [Russia-Jrs],Daniil Tarasov,G,3
0,0,0,0,0,87,Montreal,Kootenay Ice [WHL],Cale Fleury,D,3
0,0,0,0,0,88,Detroit,Muskegon Lumberjacks [USHL],Keith Petruzzelli,G,3
0,0,0,0,0,89,Buffalo,Ilves [Finland-Jrs],Oskari Laaksonen,D,3
0,0,0,0,0,90,Chicago,U.S. National Development Team [USHL],Evan Barratt,C,3
0,0,0,0,0,91,Anaheim,Chicago Steel [USHL],Jack Badini,F,3
0,0,0,0,0,92,Nashville,U.S. National Development Team [USHL],David Farrance,D,3
0,0,0,0,0,93,Pittsburgh,Fargo Force [USHL],Clayton Phillips,D,3
0,0,0,0,0,94,Colorado,Regina Pats [WHL],Nick Henry,R,4
0,0,0,0,0,95,Vancouver,Dexter School [Mass. H.S.],Jack Rathbone,D,4
0,0,0,0,0,96,Vegas,Green Bay Gamblers [USHL],Maksim Zhukov,G,4
0,0,0,0,0,97,Minnesota,Medicine Hat Tigers [WHL],Mason Shaw,C,4
0,0,0,0,0,98,New Jersey,Prince George Cougars [WHL],Nikita Popugaev,L,4
0,0,0,0,0,99,Buffalo,Providence College [H-East],Jacob Bryson,D,4
0,0,0,0,0,100,Detroit,Malmo [Sweden-Jrs],Malte Setkov,D,4
0,0,0,0,0,101,Dallas,Guelph Storm [OHL],Liam Hawel,C,4
0,0,0,0,0,102,San Jose,U.S. National Development Team [USHL],Scott Reedy,C,4
0,0,0,0,0,103,Los Angeles,Waterloo Black Hawks [USHL],Michael Anderson,D,4
0,0,0,0,0,104,Carolina,Jokerit [Finland-Jrs],Eetu Makiniemi,G,4
0,0,0,0,0,105,Winnipeg,TPS [Finland-Jrs],Santeri Virtanen,C,4
0,0,0,0,0,106,Philadelphia,Hamilton Bulldogs [OHL],Matthew Strome,L,4
0,0,0,0,0,107,Philadelphia,Owen Sound Attack [OHL],Maksim Sushko,R,4
0,0,0,0,0,108,Arizona,Ottawa 67's [OHL],Noel Hoefenmayer,D,4
0,0,0,0,0,109,Calgary,Sarnia Sting [OHL],Adam Ruzicka,C,4
0,0,0,0,0,110,Toronto,Prince Albert Raiders [WHL],Ian Scott,G,4
0,0,0,0,0,111,Boston,Sioux Falls Stampede [USHL],Jeremy Swayman,G,4
0,0,0,0,0,112,Chicago,Skelleftea AIK [SweHL],Tim Soderlund,L,4
0,0,0,0,0,113,St. Louis,Balashika [Russia-Jrs],Alexei Toropchenko,R,4
0,0,0,0,0,114,Colorado,Budejovice [Czech-Jrs],Petr Kvaca,G,4
0,0,0,0,0,115,Edmonton,Sparta [Czech-Jrs],Ostap Safin,R,4
0,0,0,0,0,116,Minnesota,Oakville Blades [OJHL],Bryce Misley,C,4
0,0,0,0,0,117,Columbus,Leksand [Sweden-Jrs],Emil Bemstrom,C,4
0,0,0,0,0,118,Los Angeles,Owen Sound Attack [OHL],Markus Phillips,D,4
0,0,0,0,0,119,Chicago,Jokerit [Finland-Jrs],Roope Laavainen,D,4
0,0,0,0,0,120,Washington,Zug EV [Swiss-A],Tobias Geisser,D,4
6,3,20,6,9,121,Ottawa,Cape Breton Screaming Eagles [QMJHL],Drake Batherson,R,4
0,0,0,0,0,122,Anaheim,Tri-City Americans [WHL],Kyle Olson,R,4
0,0,0,0,0,123,NY Rangers,London Knights [OHL],Brandon Crawley,D,4
0,0,0,0,0,124,Toronto,Kazan [Russia-Jrs],Vladislav Kara,L,4
0,0,0,0,0,125,Colorado,Magnitogorsk [Russia-Jrs],Igor Shvyrev,C,5
0,0,0,0,0,126,Arizona,Youngstown Phantoms [USHL],Michael Karow,D,5
0,0,0,0,0,127,Vegas,Rogle [Sweden-Jrs],Lucas Elvenes,C,5
0,0,0,0,0,128,Arizona,Swift Current Broncos [WHL],Tyler Steenbergen,C,5
0,0,0,0,0,129,New Jersey,Davos HC [Swiss-A],Gilles Senn,G,5
0,0,0,0,0,130,St. Louis,Val d'Or Foreurs [QMJHL],David Noel,D,5
0,0,0,0,0,131,Detroit,Peterborough Petes [OHL],Cole Fraser,D,5
0,0,0,0,0,132,Dallas,Frolunda [Sweden-Jrs],Jacob Peterson,C,5
0,0,0,0,0,133,Florida,U.S. National Development Team [USHL],Tyler Inamoto,D,5
0,0,0,0,0,134,Los Angeles,Madison Capitols [USHL],Cole Hults,D,5
0,0,0,0,0,135,Vancouver,Frolunda HC [SweHL],Kristoffer Gunnarsson,D,5
0,0,0,0,0,136,Winnipeg,Cape Breton Screaming Eagles [QMJHL],Leon Gawanke,D,5
0,0,0,0,0,137,Philadelphia,Stillwater [Minn. H.S.],Noah Cates,L,5
0,0,0,0,0,138,Los Angeles,Sarnia Sting [OHL],Drake Rymsha,C,5
3,1,22,6,4,139,NY Islanders,Skelleftea AIK [SweHL],Sebastian Aho,D,5
0,0,0,0,0,140,Calgary,Medicine Hat Tigers [WHL],Zach Fischer,R,5
0,0,0,0,0,141,Toronto,Flint Firebirds [OHL],Fedor Gordeev,D,5
0,0,0,0,0,142,Vegas,Northwood School [NY H.S.],Jack Dugan,L,5
0,0,0,0,0,143,New Jersey,Hamilton Bulldogs [OHL],Marian Studenic,R,5
0,0,0,0,0,144,Chicago,Brooks Bandits [AJHL],Parker Foo,L,5
0,0,0,0,0,145,NY Rangers,Timra [Sweden-Jrs],Calle Sjalin,D,5
0,0,0,0,0,146,Edmonton,Niagara IceDogs [OHL],Kirill Maksimov,R,5
0,0,0,0,0,147,Minnesota,London Knights [OHL],Jacob Golden,D,5
0,0,0,0,0,148,Columbus,Trail Smoke Eaters [BCHL],Kale Howarth,L,5
0,0,0,0,0,149,Montreal,Seattle Thunderbirds [WHL],Jarret Tyszka,D,5
0,0,0,0,0,150,Chicago,Olomouc HC [Czech],Jakub Galvas,D,5
0,0,0,0,0,151,Washington,MODO [Sweden-Jrs],Sebastian Walfridsson,D,5
0,0,0,0,0,152,Pittsburgh,Leksand [Sweden-Jrs],Jan Drozg,R,5
0,0,0,0,0,153,Anaheim,Farjestad [Sweden-Jrs],Olle Eriksson Ek,G,5
0,0,0,0,0,154,Nashville,Corpus Christi IceRays [NAHL],Tomas Vomacka,G,5
0,0,0,0,0,155,Pittsburgh,Brynas IF Gavle [SweHL],Linus Olund,C,5
0,0,0,0,0,156,Colorado,Pennsylvania State U [Big-10],Denis Smirnov,R,6
0,0,0,0,0,157,NY Rangers,Liberec Bili Tygri HC [Czech],Dominik Lakatos,C,6
0,0,0,0,0,158,Vegas,North York Rangers [OJHL],Nick Campoli,C,6
0,0,0,0,0,159,San Jose,Los Angeles Jr. Kings,Jake McGrew,R,6
0,0,0,0,0,160,New Jersey,Blues [Finland-Jrs],Aarne Talvitie,C,6
0,0,0,0,0,161,Vegas,Ceske Budejovice [Czech-Jrs],Jiri Patera,G,6
0,0,0,0,0,162,Detroit,Fargo Force [USHL],Jack Adams,C,6
0,0,0,0,0,163,Dallas,Kootenay Ice [WHL],Brett Davis,R,6
0,0,0,0,0,164,Detroit,Hamilton Bulldogs [OHL],Reilly Webb,D,6
0,0,0,0,0,165,NY Islanders,Halifax Mooseheads [QMJHL],Arnaud Durandeau,L,6
0,0,0,0,0,166,Carolina,Portland Winterhawks [WHL],Brendan De Jong,D,6
0,0,0,0,0,167,Winnipeg,Karlskrona [Sweden-Jrs],Arvid Holm,G,6
0,0,0,0,0,168,Philadelphia,Linkoping [Sweden-Jrs],Olle Lycksell,L,6
0,0,0,0,0,169,Tampa Bay,Elk River [Minn. H.S.],Nicklaus Perbix,D,6
0,0,0,0,0,170,Columbus,Djurgardens IF [SweHL],Jonathan Davidsson,R,6
0,0,0,0,0,171,Calgary,Baie-Comeau Drakkar [QMJHL],D'Artagnan Joly,C,6
0,0,0,0,0,172,Toronto,Sarnia Sting [OHL],Ryan McGregor,C,6
0,0,0,0,0,173,Boston,Saint John Sea Dogs [QMJHL],Cedric Pare,C,6
0,0,0,0,0,174,NY Rangers,St. Andrews [Ont. H.S.],Morgan Barron,C,6
0,0,0,0,0,175,St. Louis,Owen Sound Attack [OHL],Trenton Bourque,D,6
0,0,0,0,0,176,Nashville,Drummondville Voltigeurs [QMJHL],Pavel Koltygin,L,6
0,0,0,0,0,177,Edmonton,U.S. National Development Team [USHL],Skyler Brind'Amour,C,6
0,0,0,0,0,178,Minnesota,CSKA Moscow [KHL],Andrei Svetlakov,C,6
0,0,0,0,0,179,Columbus,Miami University (Ohio) [NCHC],Carson Meyer,R,6
0,0,0,0,0,180,Tampa Bay,Dubuque Fighting Saints [USHL],Cole Guttman,C,6
0,0,0,0,0,181,Vancouver,Owen Sound Attack [OHL],Petrus Palmu,R,6
0,0,0,0,0,182,Washington,Fairbanks Ice Dogs [NAHL],Benton Maass,D,6
0,0,0,0,0,183,Ottawa,Regina Pats [WHL],Jordan Hollett,G,6
0,0,0,0,0,184,Florida,Tappara Tampere [SM-liiga],Sebastian Repo,R,6
0,0,0,0,0,185,San Jose,Sarnia Sting [OHL],Sasha Chmelevski,C,6
0,0,0,0,0,186,Pittsburgh,Lukko [Finland-Jrs],Antti Palojarvi,D,6
0,0,0,0,0,187,Colorado,Eden Prairie [Minn. H.S.],Nick Leivermann,D,7
0,0,0,0,0,188,Vancouver,Oshawa Generals [OHL],Matt Brassard,D,7
0,0,0,0,0,189,Vegas,Niagara IceDogs [OHL],Ben Jones,C,7
0,0,0,0,0,190,Arizona,Djurgarden [Sweden-Jrs],Erik Walli-Walterholm,L,7
0,0,0,0,0,191,New Jersey,Halifax Mooseheads [QMJHL],Jocktan Chainey,D,7
0,0,0,0,0,192,Buffalo,Tri-City Storm [USHL],Linus Weissbach,L,7
0,0,0,0,0,193,Detroit,Saginaw Spirit [OHL],Brady Gilmour,C,7
0,0,1,0,0,194,Dallas,Kamloops Blazers [WHL],Dylan Ferguson,G,7
0,0,0,0,0,195,Boston,MODO [Sweden-Jrs],Victor Berglund,D,7
0,0,0,0,0,196,Philadelphia,Bloomington Thunder [USHL],Wyatt Kalynuk,D,7
0,0,0,0,0,197,Carolina,Jokipojat Joensuu [Mestis],Ville Rasanen,D,7
0,0,0,0,0,198,Winnipeg,Portland Winterhawks [WHL],Skyler McKenzie,L,7
0,0,0,0,0,199,Montreal,Lincoln Stars [USHL],Cayden Primeau,G,7
0,0,0,0,0,200,Tampa Bay,Edina [Minn. H.S.],Samuel Walker,R,7
0,0,0,0,0,201,NY Islanders,U.S. National Development Team [USHL],Logan Cockerill,L,7
0,0,0,0,0,202,Calgary,HV71 [Sweden-Jrs],Filip Sveningsson,L,7
0,0,0,0,0,203,Toronto,St. Andrews [Ont. H.S.],Ryan O'Connell,D,7
0,0,0,0,0,204,Boston,Brandon Wheat Kings [WHL],Daniel Bukac,D,7
0,0,0,0,0,205,New Jersey,Moscow Dynamo [KHL],Yegor Zaitsev,D,7
0,0,0,0,0,206,St. Louis,Lulea [Sweden-Jrs],Anton Andersson,D,7
0,0,0,0,0,207,NY Rangers,TPS Turku [SM-liiga],Patrik Virta,L,7
0,0,0,0,0,208,Edmonton,U.S. National Development Team [USHL],Philip Kemp,D,7
0,0,0,0,0,209,Minnesota,Waterloo Black Hawks [USHL],Nick Swaney,R,7
0,0,0,0,0,210,Columbus,St. Thomas [Minn. H.S.],Robbie Stucker,D,7
0,0,0,0,0,211,Winnipeg,Shreveport Mudbugs [NAHL],Croix Evingson,D,7
0,0,0,0,0,212,San Jose,Baie-Comeau Drakkar [QMJHL],Ivan Chekhovich,L,7
0,0,0,0,0,213,Washington,Almtunas [Sweden-Jrs],Kristian Roykas-Marthinsen,L,7
0,0,0,0,0,214,New Jersey,Sioux City Musketeers [USHL],Matthew Hellickson,D,7
0,0,0,0,0,215,Chicago,Lakeville South [Minn. H.S.],Josh Ess,D,7
0,0,0,0,0,216,Nashville,Kingston Frontenacs [OHL],Jacob Paquette,D,7
0,0,0,0,0,217,Pittsburgh,R.P.I. [ECAC],Will Reilly,D,7
94,111,212,38,205,1,Toronto,Zurich SC [Swiss-A],Auston Matthews,C,1
74,110,237,92,184,2,Winnipeg,Tappara Tampere [SM-liiga],Patrik Laine,R,1
62,47,164,113,109,3,Columbus,Cape Breton Screaming Eagles [QMJHL],Pierre-Luc Dubois,C,1
20,17,139,40,37,4,Edmonton,Karpat [SM-liiga],Jesse Puljujarvi,R,1
0,0,0,0,0,5,Vancouver,London Knights [OHL],Olli Juolevi,D,1
103,71,224,228,174,6,Calgary,London Knights [OHL],Matthew Tkachuk,L,1
77,37,167,48,114,7,Arizona,U.S. National Development Team [USHL],Clayton Keller,C,1
3,3,19,4,6,8,Buffalo,Mississauga Steelheads [OHL],Alexander Nylander,R,1
57,15,158,66,72,9,Montreal,Windsor Spitfires [OHL],Mikhail Sergachev,D,1
25,24,141,40,49,10,Colorado,Penticton Vees [BCHL],Tyson Jost,C,1
1,0,6,0,1,11,Ottawa,Windsor Spitfires [OHL],Logan Brown,C,1
3,0,21,13,3,12,New Jersey,Mississauga Steelheads [OHL],Michael McLeod,C,1
0,0,2,2,0,13,Carolina,Calgary Hitmen [WHL],Jake Bean,D,1
46,14,117,98,60,14,Boston,Boston University [H-East],Charlie McAvoy,D,1
13,8,68,40,21,15,Minnesota,U. of Wisconsin [Big-10],Luke Kunin,C,1
38,16,171,91,54,16,Arizona,Sarnia Sting [OHL],Jakob Chychrun,D,1
0,1,4,0,1,17,Nashville,Penticton Vees [BCHL],Dante Fabbro,D,1
0,0,0,0,0,18,Winnipeg,Windsor Spitfires [OHL],Logan Stanley,D,1
0,0,0,0,0,19,NY Islanders,U.S. National Development Team [USHL],Kieffer Bellows,L,1
9,7,52,16,16,20,Detroit,Chilliwack Chiefs [BCHL],Dennis Cholowski,D,1
0,0,0,0,0,21,Carolina,Val d'Or Foreurs [QMJHL],Julien Gauthier,R,1
0,0,0,0,0,22,Philadelphia,Russia U-18 team,German Rubtsov,C,1
10,9,54,4,19,23,Florida,HIFK Juniors (Finland),Henrik Borgstrom,C,1
3,2,30,14,5,24,Anaheim,London Knights [OHL],Max Jones,L,1
0,0,0,0,0,25,Dallas,Fargo Force [USHL],Riley Tufte,L,1
11,10,106,32,21,26,St. Louis,U. of Connecticut [H-East],Tage Thompson,R,1
17,6,66,14,23,27,Tampa Bay,Moose Jaw Warriors [WHL],Brett Howden,C,1
0,0,0,0,0,28,Washington,Kelowna Rockets [WHL],Lucas Johansen,D,1
0,0,15,15,0,29,Boston,U.S. National Development Team [USHL],Trent Frederic,C,1
5,6,22,8,11,30,Anaheim,Regina Pats [WHL],Sam Steel,C,1
0,0,0,0,0,31,Toronto,Yaroslavl Lokomotiv [KHL],Yegor Korshkov,R,2
0,0,0,0,0,32,Edmonton,Vancouver Giants [WHL],Tyler Benson,L,2
0,0,0,0,0,33,Buffalo,Farjestads BK Karlstad [SweHL],Rasmus Asplund,C,2
0,0,0,0,0,34,Columbus,Green Bay Gamblers [USHL],Andrew Peeke,D,2
2,1,16,4,3,35,St. Louis,Sarnia Sting [OHL],Jordan Kyrou,C,2
0,0,0,0,0,36,Philadelphia,Victoriaville Tigres [QMJHL],Pascal Laberge,C,2
0,1,5,6,1,37,Tampa Bay,Saskatoon Blades [WHL],Libor Hajek,D,2
0,0,0,0,0,38,Florida,Kitchener Rangers [OHL],Adam Mascherin,L,2
59,69,164,21,128,39,Chicago,Erie Otters [OHL],Alex DeBrincat,L,2
0,0,0,0,0,40,Colorado,Youngstown Phantoms [USHL],Cameron Morrison,L,2
0,3,7,10,3,41,New Jersey,Mississauga Steelheads [OHL],Nathan Bastian,R,2
0,0,0,0,0,42,Ottawa,Timra IK [Swe-1],Jonathan Dahlen,L,2
0,0,11,4,0,43,Carolina,Karpat Jrs (Finland),Janne Kuokkanen,L,2
0,0,0,0,0,44,Tampa Bay,Soo Greyhounds [OHL],Boris Katchouk,L,2
0,0,0,0,0,45,Chicago,U.S. National Development Team [USHL],Chad Krys,D,2
0,0,0,0,0,46,Detroit,Guelph Storm [OHL],Givani Smith,R,2
42,8,155,14,50,47,Nashville,Shawinigan Cataractes [QMJHL],Samuel Girard,D,2
0,0,31,0,0,48,Philadelphia,Everett Silvertips [WHL],Carter Hart,G,2
0,0,5,8,0,49,Boston,U.S. National Development Team [USHL],Ryan Lindgren,D,2
0,0,0,0,0,50,Chicago,Russia U-18 Team,Artur Kayumov,L,2
0,0,0,0,0,51,Los Angeles,Brandon Wheat Kings [WHL],Kale Clague,D,2
0,0,0,0,0,52,Philadelphia,Tri-City Storm [USHL],Wade Allison,R,2
18,5,46,30,23,53,Detroit,Hradec Kralove [Czech],Filip Hronek,D,2
0,0,0,0,0,54,Calgary,London Knights [OHL],Tyler Parsons,G,2
0,0,0,0,0,55,Pittsburgh,Lulea HF [SweHL],Filip Gustavsson,G,2
4,1,25,4,5,56,Calgary,Kelowna Rockets [WHL],Dillon Dube,C,2
1,5,15,6,6,57,Toronto,MODO Hockey Ornskoldsvik [SweHL],Carl Grundstrom,R,2
0,0,0,0,0,58,Tampa Bay,Erie Otters [OHL],Taylor Raddysh,R,2
0,0,0,0,0,59,St. Louis,Sherbrooke Phoenix [QMJHL],Evan Fitzpatrick,G,2
0,0,11,2,0,60,San Jose,U. of Denver [NCHC],Dylan Gambrell,C,2
0,0,0,0,0,61,Pittsburgh,Blues Jrs (Finland),Kasper Bjorkqvist,R,2
0,0,0,0,0,62,Toronto,U.S. National Development Team [USHL],Joseph Woll,G,3
0,0,0,0,0,63,Edmonton,Saginaw Spirit [OHL],Markus Niemelainen,D,3
0,0,0,0,0,64,Vancouver,U.S. National Development Team [USHL],William Lockwood,R,3
0,0,1,0,0,65,Columbus,Gatineau Olympiques [QMJHL],Vitaly Abramov,R,3
0,0,0,0,0,66,Calgary,U.S. National Development Team [USHL],Adam Fox,D,3
0,0,0,0,0,67,Carolina,Cedar Rapids RoughRiders [USHL],Matt Filipe,L,3
0,0,0,0,0,68,Arizona,North Bay Battalion [OHL],Cam Dineen,D,3
0,0,0,0,0,69,Buffalo,London Knights [OHL],Cliff Pu,R,3
0,0,0,0,0,70,Montreal,Flint Firebirds [OHL],William Bitten,C,3
0,0,0,0,0,71,Colorado,Prince George Cougars [WHL],Josh Anderson,D,3
0,0,0,0,0,72,Toronto,U.S. National Development Team [USHL],J.D. Greenway,D,3
3,4,34,6,7,73,New Jersey,U.S. National Development Team [USHL],Joey Anderson,R,3
0,0,0,0,0,74,Carolina,Spokane Chiefs [WHL],Hudson Elynuik,C,3
0,0,0,0,0,75,Carolina,Janesville Jets [NAHL],Jack LaFontaine,G,3
0,0,1,2,0,76,Nashville,Muskegon Lumberjacks [USHL],Rem Pitlick,C,3
0,0,0,0,0,77,Pittsburgh,Kitchener Rangers [OHL],Connor Hall,D,3
0,0,0,0,0,78,Nashville,Chicoutimi Sagueneens [QMJHL],Frederic Allard,D,3
0,0,0,0,0,79,Winnipeg,Saint John Sea Dogs [QMJHL],Luke Green,D,3
0,0,1,0,0,80,New Jersey,Shawinigan Cataractes [QMJHL],Brandon Gignac,C,3
0,0,0,0,0,81,NY Rangers,Mississauga Steelheads [OHL],Sean Day,D,3
0,0,0,0,0,82,Philadelphia,Calgary Hitmen [WHL],Carsen Twarynski,L,3
0,0,0,0,0,83,Chicago,Salzburg Jrs (Austria),Wouter Peeters,G,3
0,0,0,0,0,84,Edmonton,Georgetown Raiders [OJHL],Matthew Cairns,D,3
4,1,17,4,5,85,Anaheim,Red Deer Rebels [WHL],Josh Mahura,D,3
0,0,0,0,0,86,Buffalo,Boston College [H-East],Casey Fitzgerald,D,3
0,0,0,0,0,87,Washington,Kamloops Blazers [WHL],Garrett Pilon,C,3
0,0,0,0,0,88,Tampa Bay,Kamloops Blazers [WHL],Connor Ingram,G,3
0,0,0,0,0,89,Florida,Lulea HF [SweHL],Linus Nassen,D,3
0,0,0,0,0,90,Dallas,AIK Jrs (Sweden),Fredrik Karlstrom,C,3
0,0,0,0,0,91,Edmonton,Skelleftea Jrs (Sweden),Filip Berglund,D,3
0,0,0,0,0,92,Toronto,Regina Pats [WHL],Adam Brooks,C,4
0,0,0,0,0,93,Anaheim,Soo Greyhounds [OHL],Jack Kopacka,L,4
0,0,0,0,0,94,Florida,Peterborough Petes [OHL],Jonathan Ang,C,4
0,0,0,0,0,95,NY Islanders,Yekaterinburg Automobilist [KHL],Anatoly Golyshev,F,4
0,0,0,0,0,96,Calgary,Skeleftea Jrs (Sweden),Linus Lindstrom,C,4
0,0,0,0,0,97,Winnipeg,HV71 Jrs (Sweden),Jacob Cederholm,D,4
0,0,0,0,0,98,NY Rangers,TPS Jrs (Finland),Tarmo Reunanen,D,4
0,0,0,0,0,99,Buffalo,Carleton Place Canadians [CCHL],Brett Murray,L,4
20,0,120,10,20,100,Montreal,London Knights [OHL],Victor Mete,D,4
0,0,0,0,0,101,Toronto,Saginaw Spirit [OHL],Keaton Middleton,D,4
0,0,0,0,0,102,New Jersey,Russia U-18 Team,Mikhail Maltsev,L,4
0,0,0,0,0,103,Ottawa,Fairbanks Ice Dogs [NAHL],Todd Burgess,R,4
0,0,0,0,0,104,Carolina,Chicago Steel [USHL],Max Zimmer,L,4
0,0,0,0,0,105,New Jersey,Saginaw Spirit [OHL],Evan Cormier,G,4
0,0,0,0,0,106,Minnesota,Tri-City Storm [USHL],Brandon Duhaime,F,4
0,0,0,0,0,107,Detroit,Orebro Jrs (Sweden),Alfons Malmstrom,D,4
0,0,0,0,0,108,Nashville,Skelleftea Jrs (Sweden),Hardy Haman Aktell,D,4
0,0,0,0,0,109,Philadelphia,Kitchener Rangers [OHL],Connor Bunnaman,C,4
0,0,0,0,0,110,Chicago,Brynas IF Gavle [SweHL],Lucas Carlsson,D,4
0,0,0,0,0,111,San Jose,Moose Jaw Warriors [WHL],Noah Gregor,C,4
0,0,0,0,0,112,Los Angeles,HV71 Jrs (Sweden),Jacob Moverare,D,4
0,0,0,0,0,113,Chicago,Saint John Sea Dogs [QMJHL],Nathan Noel,C,4
0,0,1,2,0,114,Florida,Oshawa Generals [OHL],Riley Stillman,D,4
0,0,0,0,0,115,Anaheim,Gatineau Olympiques [QMJHL],Alex Dostie,C,4
0,0,0,0,0,116,Dallas,U. of North Dakota [NCHC],Rhett Gardner,C,4
0,0,0,0,0,117,Washington,Geneve Servette [Swiss-A],Damien Riat,L,4
0,0,0,0,0,118,Tampa Bay,Cedar Rapids RoughRiders [USHL],Ross Colton,F,4
0,0,0,0,0,119,St. Louis,Brandon Wheat Kings [WHL],Tanner Kaspick,C,4
0,0,0,0,0,120,NY Islanders,Ilves Jrs (Finland),Otto Koivula,L,4
0,0,0,0,0,121,Pittsburgh,Lincoln Stars [USHL],Ryan Jones,D,4
0,0,0,0,0,122,Toronto,Victoria Royals [WHL],Vladimir Bobylev,L,5
0,0,0,0,0,123,Edmonton,Peterborough Petes [OHL],Dylan Wells,G,5
0,0,0,0,0,124,Montreal,Grand Rapids (Minn. H.S.),Casey Staum,D,5
0,0,0,0,0,125,St. Louis,Northeastern University [H-East],Nolan Stevens,F,5
0,0,0,0,0,126,Calgary,Bloomington Thunder [USHL],Mitchell Mattson,C,5
0,0,0,0,0,127,Winnipeg,Calgary Hitmen [WHL],Jordan Stallard,C,5
0,0,0,0,0,128,Dallas,Carleton Place Canadians [CCHL],Colton Point,G,5
0,0,0,0,0,129,Buffalo,Linkoping Jrs (Sweden),Philip Nyberg,D,5
0,0,0,0,0,130,Buffalo,Prince Albert Raiders [WHL],Vojtech Budik,D,5
0,0,0,0,0,131,Colorado,Farjestads Jrs (Sweden),Adam Werner,G,5
0,0,0,0,0,132,New Jersey,St. Petersburg Jrs (Russia),Yegor Rykov,D,5
8,7,56,20,15,133,Ottawa,Swift Current Broncos [WHL],Max Lajoie,D,5
0,0,0,0,0,134,Carolina,Kingston Frontenacs [OHL],Jeremy Helvig,G,5
0,0,0,0,0,135,Boston,Ilves Jrs (Finland),Joona Koppanen,C,5
0,0,0,0,0,136,Boston,Lone Star Brahmas [NAHL],Cameron Clarke,D,5
0,0,0,0,0,137,Detroit,Erie Otters [OHL],Jordan Sambrook,D,5
0,0,0,0,0,138,Nashville,Avon Old Farms (Conn. H.S.),Patrick Harper,C,5
0,0,0,0,0,139,Philadelphia,Vaxjo Jrs (Sweden),Linus Hogberg,D,5
0,0,0,0,0,140,Vancouver,Hamilton Bulldogs [OHL],Cole Candella,D,5
0,0,4,0,0,141,NY Rangers,Soo Greyhounds [OHL],Tim Gettinger,L,5
0,0,0,0,0,142,Los Angeles,St. Cloud State [NCHC],Mikey Eyssimont,F,5
0,0,0,0,0,143,Chicago,Rogle Jrs (Sweden),Mathias From,L,5
0,0,0,0,0,144,St. Louis,Red Deer Rebels [WHL],Conner Bleackley,C,5
0,0,0,0,0,145,Washington,Calgary Hitmen [WHL],Beck Malenstyn,L,5
0,0,0,0,0,146,Dallas,Flint Firebirds [OHL],Nicholas Caamano,R,5
0,0,0,0,0,147,Washington,Djurgarden Jrs (Sweden),Axel Jonsson-Fjallby,L,5
0,0,0,0,0,148,Tampa Bay,Niagara IceDogs [OHL],Christopher Paquette,C,5
0,0,0,0,0,149,Edmonton,U.S. National Development Team [USHL],Graham McPhee,L,5
0,0,0,0,0,150,San Jose,Moncton Wildcats [QMJHL],Manuel Wiederer,R,5
0,0,0,0,0,151,Pittsburgh,Jokerit Jrs (Finland),Niclas Almari,D,5
0,0,0,0,0,152,Toronto,Victoria Royals [WHL],Jack Walker,L,6
0,0,0,0,0,153,Edmonton,Tappara Jrs (Finland),Aapeli Rasanen,C,6
0,0,0,0,0,154,Vancouver,Calgary Hitmen [WHL],Jakob Stukel,L,6
0,0,0,0,0,155,Columbus,Aberdeen Wings [NAHL],Peter Thome,G,6
0,0,0,0,0,156,Calgary,HPK Jrs (Finland),Eetu Tuulola,R,6
0,0,0,0,0,157,Winnipeg,Russia U-18 Team,Mikhail Berdin,G,6
0,0,0,0,0,158,Arizona,Oakville Blades [OJHL],Patrick Kudla,D,6
0,0,0,0,0,159,Buffalo,Red Deer Rebels [WHL],Brandon Hagel,L,6
0,0,0,0,0,160,Montreal,Sudbury Wolves [OHL],Michael Pezzetta,C,6
0,0,0,0,0,161,Colorado,Culver Academy (H.S.),Nathan Clurman,D,6
47,21,125,24,68,162,New Jersey,AIK [Swe-1],Jesper Bratt,L,6
0,0,0,0,0,163,Ottawa,TPS Jrs (Finland),Markus Nurmi,R,6
0,0,0,0,0,164,Carolina,Guelph Storm [OHL],Noah Carroll,D,6
0,0,0,0,0,165,Boston,Farjestad Jrs (Sweden),Oskar Steen,C,6
0,0,0,0,0,166,Calgary,Victoria Royals [WHL],Matthew Phillips,C,6
0,0,0,0,0,167,Detroit,Djurgarden Jrs (Sweden),Filip Larsson,G,6
0,0,0,0,0,168,Nashville,SKA Jrs (Russia),Konstantin Volkov,G,6
0,0,0,0,0,169,Philadelphia,Lincoln Stars [USHL],Tanner Laczynski,C,6
0,0,0,0,0,170,NY Islanders,Muskegon Lumberjacks [USHL],Collin Adams,L,6
0,0,0,0,0,171,NY Rangers,Rouyn-Noranda Huskies [QMJHL],Gabriel Fontaine,C,6
0,0,0,0,0,172,Philadelphia,Sarnia Sting [OHL],Anthony Salinitri,L,6
0,1,4,0,1,173,Chicago,U. of Denver [NCHC],Blake Hillman,D,6
0,0,0,0,0,174,NY Rangers,Leamington (GOJHL),Tyler Wall,G,6
1,3,33,12,4,175,Florida,CSKA Moscow [KHL],Maxim Mamin,C,6
0,0,0,0,0,176,Dallas,MODO Jrs (Sweden),Jakob Stenqvist,D,6
0,0,0,0,0,177,Washington,Quinnipiac University [ECAC],Chase Priskie,D,6
